"","FacilityId","County","FacilityName","Variable","Year_2019","Year_2018","change"
"192","IL1415330","Ogle","Aqua Illinois - Nordic Woods (PWS)","UnknownNotLead",0,0,0
"193","IL0315350","Cook","Aqua Illinois - North Maine Utilities (PWS)","Lead",2,2,0
"194","IL0315350","Cook","Aqua Illinois - North Maine Utilities (PWS)","Total",4823,4808,15
"195","IL0315350","Cook","Aqua Illinois - North Maine Utilities (PWS)","Unknown",4804,4370,434
"196","IL0315350","Cook","Aqua Illinois - North Maine Utilities (PWS)","UnknownNotLead",0,0,0
"197","IL0955200","Knox","Aqua Illinois - Oak Run (PWS)","Lead",0,0,0
"198","IL0955200","Knox","Aqua Illinois - Oak Run (PWS)","Total",760,755,5
"199","IL0955200","Knox","Aqua Illinois - Oak Run (PWS)","Unknown",0,0,0
"200","IL0955200","Knox","Aqua Illinois - Oak Run (PWS)","UnknownNotLead",438,603,-165
"201","IL1977210","Will","Aqua Illinois - Oakview (PWS)","Lead",0,0,0
"202","IL1977210","Will","Aqua Illinois - Oakview (PWS)","Total",108,109,-1
"203","IL1977210","Will","Aqua Illinois - Oakview (PWS)","Unknown",107,92,15
"204","IL1977210","Will","Aqua Illinois - Oakview (PWS)","UnknownNotLead",0,0,0
"205","IL1970750","Will","Aqua Illinois - Peotone (PWS)","Lead",21,25,-4
"206","IL1970750","Will","Aqua Illinois - Peotone (PWS)","Total",1609,1735,-126
"207","IL1970750","Will","Aqua Illinois - Peotone (PWS)","Unknown",1588,438,1150
"208","IL1970750","Will","Aqua Illinois - Peotone (PWS)","UnknownNotLead",0,1265,-1265
"209","IL0190600","Champaign","Aqua Illinois - Philo (PWS)","Lead",0,0,0
"210","IL0190600","Champaign","Aqua Illinois - Philo (PWS)","Total",610,603,7
"211","IL0190600","Champaign","Aqua Illinois - Philo (PWS)","Unknown",602,603,-1
"212","IL0190600","Champaign","Aqua Illinois - Philo (PWS)","UnknownNotLead",0,0,0
"213","IL0975070","Lake","Aqua Illinois - Ravenna (PWS)","Lead",0,0,0
"214","IL0975070","Lake","Aqua Illinois - Ravenna (PWS)","Total",105,105,0
"215","IL0975070","Lake","Aqua Illinois - Ravenna (PWS)","Unknown",0,0,0
"216","IL0975070","Lake","Aqua Illinois - Ravenna (PWS)","UnknownNotLead",0,0,0
"217","IL2010080","Winnebago","Aqua Illinois - Sheridan Grove (PWS)","Lead",0,0,0
"218","IL2010080","Winnebago","Aqua Illinois - Sheridan Grove (PWS)","Total",40,40,0
"219","IL2010080","Winnebago","Aqua Illinois - Sheridan Grove (PWS)","Unknown",3,0,3
"220","IL2010080","Winnebago","Aqua Illinois - Sheridan Grove (PWS)","UnknownNotLead",0,3,-3
"221","IL0915450","Kankakee","Aqua Illinois - Skyline (PWS)","Lead",0,0,0
"222","IL0915450","Kankakee","Aqua Illinois - Skyline (PWS)","Total",87,87,0
"223","IL0915450","Kankakee","Aqua Illinois - Skyline (PWS)","Unknown",87,86,1
"224","IL0915450","Kankakee","Aqua Illinois - Skyline (PWS)","UnknownNotLead",0,0,0
"225","IL0910720","Kankakee","Aqua Illinois - Sun River Terrace (PWS)","Lead",0,0,0
"226","IL0910720","Kankakee","Aqua Illinois - Sun River Terrace (PWS)","Total",201,201,0
"227","IL0910720","Kankakee","Aqua Illinois - Sun River Terrace (PWS)","Unknown",200,200,0
"228","IL0910720","Kankakee","Aqua Illinois - Sun River Terrace (PWS)","UnknownNotLead",1,0,1
"229","IL1970060","Will","Aqua Illinois - Village Woods (PWS)","Lead",0,0,0
"230","IL1970060","Will","Aqua Illinois - Village Woods (PWS)","Total",268,268,0
"231","IL1970060","Will","Aqua Illinois - Village Woods (PWS)","Unknown",268,155,113
"232","IL1970060","Will","Aqua Illinois - Village Woods (PWS)","UnknownNotLead",0,0,0
"233","IL1977870","Will","Aqua Illinois - Willowbrook (PWS)","Lead",0,0,0
"234","IL1977870","Will","Aqua Illinois - Willowbrook (PWS)","Total",801,802,-1
"235","IL1977870","Will","Aqua Illinois - Willowbrook (PWS)","Unknown",800,526,274
"236","IL1977870","Will","Aqua Illinois - Willowbrook (PWS)","UnknownNotLead",0,0,0
"237","IL1415050","Ogle","Aqua Illinois - Woodlawn (PWS)","Lead",0,0,0
"238","IL1415050","Ogle","Aqua Illinois - Woodlawn (PWS)","Total",99,94,5
"239","IL1415050","Ogle","Aqua Illinois - Woodlawn (PWS)","Unknown",0,0,0
"240","IL1415050","Ogle","Aqua Illinois - Woodlawn (PWS)","UnknownNotLead",0,0,0
"241","IL1830500","Vermilion","Aqua Illinois-Indianola (PWS)","Lead",0,0,0
"242","IL1830500","Vermilion","Aqua Illinois-Indianola (PWS)","Total",123,123,0
"243","IL1830500","Vermilion","Aqua Illinois-Indianola (PWS)","Unknown",118,123,-5
"244","IL1830500","Vermilion","Aqua Illinois-Indianola (PWS)","UnknownNotLead",0,0,0
"245","IL0915030","Kankakee","Aqua Illinois-Kankakee (PWS)","Lead",8,5,3
"246","IL0915030","Kankakee","Aqua Illinois-Kankakee (PWS)","Total",31867,34345,-2478
"247","IL0915030","Kankakee","Aqua Illinois-Kankakee (PWS)","Unknown",22722,32661,-9939
"248","IL0915030","Kankakee","Aqua Illinois-Kankakee (PWS)","UnknownNotLead",3564,0,3564
"249","IL0312050","Cook","Aqua Illinois-Summerdale (PWS)","Lead",0,0,0
"250","IL0312050","Cook","Aqua Illinois-Summerdale (PWS)","Total",57,57,0
"251","IL0312050","Cook","Aqua Illinois-Summerdale (PWS)","Unknown",57,55,2
"252","IL0312050","Cook","Aqua Illinois-Summerdale (PWS)","UnknownNotLead",0,0,0
"253","IL1975030","Will","Aqua Illinois-University Park (PWS)","Lead",0,0,0
"254","IL1975030","Will","Aqua Illinois-University Park (PWS)","Total",2836,2676,160
"255","IL1975030","Will","Aqua Illinois-University Park (PWS)","Unknown",1760,1654,106
"256","IL1975030","Will","Aqua Illinois-University Park (PWS)","UnknownNotLead",254,241,13
"257","IL1835120","Vermilion","Aqua Illinois-Vermilion County (PWS)","Lead",0,0,0
"258","IL1835120","Vermilion","Aqua Illinois-Vermilion County (PWS)","Total",19990,19877,113
"259","IL1835120","Vermilion","Aqua Illinois-Vermilion County (PWS)","Unknown",19136,18737,399
"260","IL1835120","Vermilion","Aqua Illinois-Vermilion County (PWS)","UnknownNotLead",26,0,26
"261","IL0970330","Lake","Arboria of Long Grove Senior Care (PWS)","Lead",0,0,0
"262","IL0970330","Lake","Arboria of Long Grove Senior Care (PWS)","Total",1,1,0
"263","IL0970330","Lake","Arboria of Long Grove Senior Care (PWS)","Unknown",0,0,0
"264","IL0970330","Lake","Arboria of Long Grove Senior Care (PWS)","UnknownNotLead",0,0,0
"265","IL0410050","Douglas","Arcola (PWS)","Lead",90,95,-5
"266","IL0410050","Douglas","Arcola (PWS)","Total",1399,1403,-4
"267","IL0410050","Douglas","Arcola (PWS)","Unknown",0,0,0
"268","IL0410050","Douglas","Arcola (PWS)","UnknownNotLead",28,28,0
"269","IL0410020","Douglas","Arcola/Tuscola Water Transmission Main (PWS)","Lead",0,0,0
"270","IL0410020","Douglas","Arcola/Tuscola Water Transmission Main (PWS)","Total",34,32,2
"271","IL0410020","Douglas","Arcola/Tuscola Water Transmission Main (PWS)","Unknown",0,0,0
"272","IL0410020","Douglas","Arcola/Tuscola Water Transmission Main (PWS)","UnknownNotLead",0,0,0
"273","IL0170050","Cass","Arenzville (PWS)","Lead",0,0,0
"274","IL0170050","Cass","Arenzville (PWS)","Total",195,192,3
"275","IL0170050","Cass","Arenzville (PWS)","Unknown",5,25,-20
"276","IL0170050","Cass","Arenzville (PWS)","UnknownNotLead",0,0,0
"277","IL0170080","Cass","Arenzville Rural Water Cooperative (PWS)","Lead",0,0,0
"278","IL0170080","Cass","Arenzville Rural Water Cooperative (PWS)","Total",218,218,0
"279","IL0170080","Cass","Arenzville Rural Water Cooperative (PWS)","Unknown",0,0,0
"280","IL0170080","Cass","Arenzville Rural Water Cooperative (PWS)","UnknownNotLead",0,0,0
"281","IL1150050","Macon","Argenta (PWS)","Lead",0,0,0
"282","IL1150050","Macon","Argenta (PWS)","Total",441,439,2
"283","IL1150050","Macon","Argenta (PWS)","Unknown",0,0,0
"284","IL1150050","Macon","Argenta (PWS)","UnknownNotLead",0,0,0
"285","IL0110050","Bureau","Arlington (PWS)","Lead",0,0,0
"286","IL0110050","Bureau","Arlington (PWS)","Total",68,68,0
"287","IL0110050","Bureau","Arlington (PWS)","Unknown",0,11,-11
"288","IL0110050","Bureau","Arlington (PWS)","UnknownNotLead",11,0,11
"289","IL0314030","Cook","Arlington Heights (PWS)","Lead",6475,6513,-38
"290","IL0314030","Cook","Arlington Heights (PWS)","Total",23244,23244,0
"291","IL0314030","Cook","Arlington Heights (PWS)","Unknown",0,0,0
"292","IL0314030","Cook","Arlington Heights (PWS)","UnknownNotLead",0,0,0
"293","IL0310220","Cook","Arlington Park Race Track (PWS)","Lead",0,0,0
"294","IL0310220","Cook","Arlington Park Race Track (PWS)","Total",54,54,0
"295","IL0310220","Cook","Arlington Park Race Track (PWS)","Unknown",0,0,0
"296","IL0310220","Cook","Arlington Park Race Track (PWS)","UnknownNotLead",0,0,0
"297","IL1790050","Tazewell","Armington (PWS)","Lead",0,0,0
"298","IL1790050","Tazewell","Armington (PWS)","Total",167,167,0
"299","IL1790050","Tazewell","Armington (PWS)","Unknown",0,0,0
"300","IL1790050","Tazewell","Armington (PWS)","UnknownNotLead",136,0,136
"301","IL1610090","Rock Island","Arrow Head Ranch (PWS)","Lead",0,0,0
"302","IL1610090","Rock Island","Arrow Head Ranch (PWS)","Total",9,1,8
"303","IL1610090","Rock Island","Arrow Head Ranch (PWS)","Unknown",0,0,0
"304","IL1610090","Rock Island","Arrow Head Ranch (PWS)","UnknownNotLead",0,0,0
"305","IL1130100","McLean","Arrowsmith (PWS)","Lead",0,0,0
"306","IL1130100","McLean","Arrowsmith (PWS)","Total",125,125,0
"307","IL1130100","McLean","Arrowsmith (PWS)","Unknown",0,0,0
"308","IL1130100","McLean","Arrowsmith (PWS)","UnknownNotLead",0,0,0
"309","IL1394040","Moultrie","Arthur (PWS)","Lead",0,0,0
"310","IL1394040","Moultrie","Arthur (PWS)","Total",1156,1131,25
"311","IL1394040","Moultrie","Arthur (PWS)","Unknown",777,859,-82
"312","IL1394040","Moultrie","Arthur (PWS)","UnknownNotLead",0,0,0
"313","IL0750050","Iroquois","Ashkum (PWS)","Lead",0,0,0
"314","IL0750050","Iroquois","Ashkum (PWS)","Total",343,343,0
"315","IL0750050","Iroquois","Ashkum (PWS)","Unknown",0,48,-48
"316","IL0750050","Iroquois","Ashkum (PWS)","UnknownNotLead",46,0,46
"317","IL0170100","Cass","Ashland (PWS)","Lead",0,0,0
"318","IL0170100","Cass","Ashland (PWS)","Total",619,619,0
"319","IL0170100","Cass","Ashland (PWS)","Unknown",0,0,0
"320","IL0170100","Cass","Ashland (PWS)","UnknownNotLead",580,605,-25
"321","IL1890100","Washington","Ashley (PWS)","Lead",0,0,0
"322","IL1890100","Washington","Ashley (PWS)","Total",358,358,0
"323","IL1890100","Washington","Ashley (PWS)","Unknown",0,0,0
"324","IL1890100","Washington","Ashley (PWS)","UnknownNotLead",5,5,0
"325","IL0290050","Coles","Ashmore (PWS)","Lead",3,3,0
"326","IL0290050","Coles","Ashmore (PWS)","Total",365,365,0
"327","IL0290050","Coles","Ashmore (PWS)","Unknown",0,162,-162
"328","IL0290050","Coles","Ashmore (PWS)","UnknownNotLead",162,0,162
"329","IL1030100","Lee","Ashton (PWS)","Lead",0,0,0
"330","IL1030100","Lee","Ashton (PWS)","Total",417,418,-1
"331","IL1030100","Lee","Ashton (PWS)","Unknown",119,120,-1
"332","IL1030100","Lee","Ashton (PWS)","UnknownNotLead",0,0,0
"333","IL0210050","Christian","Assumption (PWS)","Lead",54,55,-1
"334","IL0210050","Christian","Assumption (PWS)","Total",566,567,-1
"335","IL0210050","Christian","Assumption (PWS)","Unknown",268,270,-2
"336","IL0210050","Christian","Assumption (PWS)","UnknownNotLead",0,0,0
"337","IL0570050","Fulton","Astoria (PWS)","Lead",2,2,0
"338","IL0570050","Fulton","Astoria (PWS)","Total",602,601,1
"339","IL0570050","Fulton","Astoria (PWS)","Unknown",37,37,0
"340","IL0570050","Fulton","Astoria (PWS)","UnknownNotLead",0,0,0
"341","IL1290050","Menard","Athens (PWS)","Lead",0,0,0
"342","IL1290050","Menard","Athens (PWS)","Total",1799,1787,12
"343","IL1290050","Menard","Athens (PWS)","Unknown",0,0,0
"344","IL1290050","Menard","Athens (PWS)","UnknownNotLead",0,0,0
"345","IL0730200","Henry","Atkinson (PWS)","Lead",0,0,0
"346","IL0730200","Henry","Atkinson (PWS)","Total",480,480,0
