FacilityId,County,Place,Class,FacilityName,ReportedDate,ReportingYear,TotalServiceConnections,WholesaleConnections,RetailConnections,ServicesLead,ServicesUnknownMaterial,ServicesCopperLeadSolder,ServicesGalvanized,ServicesUnknownNotLead,ServicesCopperNonLeadSolder,ServicesCastDuctileIronTransite,ServicesPlastic
IL1030200,Lee,Dixon,city,Dixon (PWS),4/4/19 8:48,2018,5732,0,5732,0,391,0,878,0,4239,0,224
IL0310690,Cook,Dolton,village,Dolton (PWS),4/10/19 9:15,2018,8938,0,8938,6178,400,990,590,0,780,0,0
IL1810200,Union,Dongola,village,Dongola (PWS),4/4/19 10:55,2018,380,0,380,0,130,100,50,0,0,0,100
IL0054360,Bond,Donnellson,village,Donnellson (PWS),4/12/19 11:22,2018,126,0,126,0,0,15,19,75,0,0,17
IL0750400,Iroquois,Donovan,village,Donovan (PWS),5/8/19 20:54,2018,140,0,140,0,140,0,0,0,0,0,0
IL1170250,Macoupin,Dorchester,village,Dorchester (PWS),3/27/19 10:58,2018,210,0,210,0,0,20,0,40,0,0,150
IL0110350,Bureau,Dover,village,Dover (PWS),5/23/19 19:53,2018,65,2,63,0,65,0,0,0,0,0,0
IL0770250,Jackson,Dowell,village,Dowell (PWS),4/1/19 10:37,2018,498,0,498,0,390,0,0,0,0,0,108
IL0430300,DuPage,Downers Grove,village,Downers Grove (PWS),4/12/19 11:14,2018,16867,0,16867,83,3851,0,0,11582,1328,22,1
IL1130500,McLean,Downs,village,Downs (PWS),5/10/19 8:33,2018,412,0,412,0,0,0,0,0,410,0,2
IL1890150,Washington,Du Bois,village,Dubois (PWS),4/11/19 11:07,2018,132,0,132,0,0,0,0,0,0,0,132
IL1450100,Perry,Du Quoin,city,Duquoin (PWS),5/23/19 9:16,2018,3002,2,3000,0,3002,0,0,0,0,0,0
IL1430250,Peoria,Dunlap,village,Dunlap (PWS),3/28/19 14:11,2018,590,0,590,0,0,0,0,0,559,0,31
IL1630350,St. Clair,Dupo,village,Dupo (PWS),4/4/19 15:40,2018,2163,0,2163,0,1317,0,18,0,366,2,460
IL2010100,Winnebago,Durand,village,Durand (PWS),3/13/19 17:25,2018,557,0,557,0,0,0,0,0,547,0,10
IL1050250,Livingston,Dwight,village,Dwight (PWS),4/15/19 11:03,2018,1794,2,1792,0,1641,46,0,0,67,0,40
IL1170300,Macoupin,Eagarville,village,Eagarville (PWS),3/27/19 11:03,2018,51,0,51,0,0,0,0,0,0,0,51
IL0990150,LaSalle,Earlville,city,Earlville (PWS),4/11/19 11:50,2018,694,0,694,0,155,0,7,0,507,0,25
IL1190200,Madison,East Alton,village,East Alton (PWS),3/15/19 6:52,2018,2891,0,2891,0,0,0,493,686,1601,0,111
IL0850100,Jo Daviess,East Dubuque,city,East Dubuque (PWS),3/19/19 10:22,2018,964,0,964,12,510,430,0,0,0,4,8
IL0890250,Kane,East Dundee,village,East Dundee (PWS),4/11/19 10:55,2018,1400,0,1400,226,810,0,0,0,358,5,1
IL0950150,Knox,East Galesburg,village,East Galesburg (PWS),5/9/19 13:08,2018,364,0,364,0,0,0,0,0,364,0,0
IL0310750,Cook,East Hazel Crest,village,East Hazel Crest (PWS),5/2/19 14:35,2018,498,0,498,130,0,368,0,0,0,0,0
IL1610250,Rock Island,East Moline,city,East Moline (PWS),3/18/19 11:38,2018,6400,6400,0,49,6351,0,0,0,0,0,0
IL1790200,Tazewell,East Peoria,city,East Peoria (PWS),3/15/19 13:53,2018,7843,7843,0,250,0,0,0,0,7300,0,293
IL1250100,Mason,Easton,village,Easton (PWS),4/1/19 7:53,2018,202,0,202,0,0,0,3,0,199,0,0
IL0490200,Effingham,Edgewood,village,Edgewood (PWS),4/10/19 9:35,2018,268,0,268,0,0,0,0,0,0,0,268
IL0210150,Christian,Edinburg,village,Edinburg (PWS),3/25/19 8:39,2018,608,0,608,0,35,100,40,0,400,0,33
IL1190250,Madison,Edwardsville,city,Edwardsville (PWS),4/11/19 8:41,2018,9588,3,9585,0,3239,5123,146,0,0,3,1077
IL0490250,Effingham,Effingham,city,Effingham (PWS),2/7/19 10:35,2018,5372,7,5365,23,5324,0,0,0,15,0,10
