"FacilityId","County","FacilityName","ReportedDate","ReportingYear","TotalServiceConnections","WholesaleConnections","RetailConnections","ServicesLead","ServicesUnknownMaterial","ServicesCopperLeadSolder","ServicesGalvanized","ServicesUnknownNotLead","ServicesCopperNonLeadSolder","ServicesCastDuctileIronTransite","ServicesPlastic"
"IL0610150","Greene","Greenfield (PWS)","5/20/2020 7:25:53 AM","2019","597","0","597","0","0","0","0","0","597","0","0"
"IL1050300","Livingston","Emington (PWS)","5/19/2020 6:20:28 PM","2019","50","0","50","0","0","0","0","0","0","0","50"
"IL1050550","Livingston","Odell (PWS)","5/19/2020 6:19:13 PM","2019","450","0","450","0","0","0","0","0","450","0","0"
"IL0535100","Ford","Stelle Community Assn (PWS)","5/19/2020 4:25:04 PM","2019","52","0","52","0","0","0","0","0","0","0","52"
"IL0295100","Coles","Clear Water Service Corp (PWS)","5/19/2020 3:37:54 PM","2019","2552","2","2550","0","0","0","0","0","0","0","2552"
"IL0810450","Jefferson","Woodlawn (PWS)","5/19/2020 2:57:50 PM","2019","1402","0","1402","0","305","0","0","0","5","0","1092"
"IL0971950","Lake","Winthrop Harbor (PWS)","5/19/2020 2:52:02 PM","2019","2172","0","2172","577","577","0","0","0","1018","0","0"
"IL0191000","Champaign","Tolono (PWS)","5/19/2020 2:39:25 PM","2019","1306","0","1306","0","0","0","100","303","402","0","501"
"IL0971050","Lake","Fields Of Long Grove (PWS)","5/19/2020 2:21:00 PM","2019","88","0","88","0","0","0","0","0","88","0","0"
"IL0970330","Lake","Arboria of Long Grove Senior Care (PWS)","5/19/2020 2:19:45 PM","2019","1","0","1","0","0","0","0","0","1","0","0"
"IL0971090","Lake","Alden Long Grove Nursing Center (PWS)","5/19/2020 2:17:49 PM","2019","3","0","3","0","0","0","0","0","3","0","0"
"IL0890040","Kane","Silver Glen Homeowners Association (PWS)","5/19/2020 2:16:20 PM","2019","158","0","158","0","0","0","0","0","158","0","0"
"IL1055520","Livingston","William W Fox Development Center (PWS)","5/19/2020 12:57:01 PM","2019","4","0","4","0","0","0","2","0","1","1","0"
"IL1850050","Wabash","Allendale (PWS)","5/19/2020 11:04:07 AM","2019","200","0","200","0","95","3","13","0","0","0","89"
"IL1410350","Ogle","Mount Morris (PWS)","5/19/2020 10:51:53 AM","2019","1156","0","1156","1","0","310","694","0","35","0","116"
"IL0070050","Boone","Belvidere (PWS)","5/19/2020 10:02:09 AM","2019","7537","1","7536","10","4028","0","0","0","3345","0","154"
"IL0990850","LaSalle","Peru (PWS)","5/19/2020 9:21:58 AM","2019","5050","0","5050","2196","0","0","151","0","2532","0","171"
"IL0195945","Champaign","Fountain Valley MHP (PWS)","5/19/2020 12:00:00 AM","2019","188","0","188","0","0","0","39","0","139","0","10"
"IL0415150","Douglas","Egyptian Trail Water Corp (PWS)","5/18/2020 6:28:52 PM","2019","31","1","30","0","0","0","0","0","0","0","31"
"IL0610200","Greene","Hillview (PWS)","5/18/2020 6:05:50 PM","2019","60","0","60","0","0","0","1","0","0","0","59"
"IL0610100","Greene","Eldred (PWS)","5/18/2020 6:03:58 PM","2019","132","0","132","0","47","0","0","0","73","0","12"
"IL0970050","Lake","Antioch (PWS)","5/18/2020 4:09:58 PM","2019","4719","0","4719","201","0","0","0","0","4512","0","6"
