GEOID,NAME,total,total_hispanic,total_hispanic_perc,mexican,mexican_perc,PR,PR_perc,cuban,cuban_perc,hispanic_other,hispanic_other_perc,total_nothisp,total_nothisp_perc,white,white_perc,black,black_perc,native,native_perc,asian,asian_perc,PI,PI_perc
1600000US1704533,"Beckemeyer village, Illinois",1024,31,3,17,1.7,0,0,0,0,14,1.4,993,97,975,95.2,13,1.3,0,0,0,0,0,0
1600000US1704572,"Bedford Park village, Illinois",514,159,30.9,155,30.2,0,0,0,0,4,0.8,355,69.1,355,69.1,0,0,0,0,0,0,0,0
1600000US1704585,"Beecher village, Illinois",4382,142,3.2,70,1.6,61,1.4,0,0,11,0.3,4240,96.8,4188,95.6,17,0.4,5,0.1,0,0,0,0
1600000US1704598,"Beecher City village, Illinois",372,1,0.3,1,0.3,0,0,0,0,0,0,371,99.7,365,98.1,2,0.5,0,0,0,0,0,0
1600000US1704689,"Belgium village, Illinois",392,5,1.3,5,1.3,0,0,0,0,0,0,387,98.7,380,96.9,0,0,0,0,5,1.3,0,0
1600000US1704715,"Belknap village, Illinois",113,4,3.5,0,0,0,0,4,3.5,0,0,109,96.5,109,96.5,0,0,0,0,0,0,0,0
1600000US1704793,"Belle Prairie City town, Illinois",69,0,0,0,0,0,0,0,0,0,0,69,100,69,100,0,0,0,0,0,0,0,0
1600000US1704806,"Belle Rive village, Illinois",306,2,0.7,2,0.7,0,0,0,0,0,0,304,99.3,299,97.7,0,0,2,0.7,0,0,0,0
1600000US1704845,"Belleville city, Illinois",41926,1024,2.4,748,1.8,144,0.3,0,0,132,0.3,40902,97.6,27823,66.4,10948,26.1,138,0.3,255,0.6,0,0
1600000US1704871,"Bellevue village, Illinois",1847,21,1.1,14,0.8,0,0,0,0,7,0.4,1826,98.9,1667,90.3,32,1.7,12,0.6,66,3.6,0,0
1600000US1704897,"Bellflower village, Illinois",386,0,0,0,0,0,0,0,0,0,0,386,100,385,99.7,0,0,1,0.3,0,0,0,0
1600000US1704936,"Bellmont village, Illinois",194,0,0,0,0,0,0,0,0,0,0,194,100,193,99.5,0,0,0,0,0,0,0,0
1600000US1704975,"Bellwood village, Illinois",19112,3422,17.9,2840,14.9,428,2.2,0,0,154,0.8,15690,82.1,805,4.2,14402,75.4,10,0.1,183,1,0,0
1600000US1705092,"Belvidere city, Illinois",25319,8324,32.9,7316,28.9,384,1.5,96,0.4,528,2.1,16995,67.1,15789,62.4,354,1.4,0,0,212,0.8,0,0
1600000US1705144,"Bement village, Illinois",1502,4,0.3,4,0.3,0,0,0,0,0,0,1498,99.7,1440,95.9,34,2.3,0,0,4,0.3,0,0
1600000US1705209,"Benld city, Illinois",1616,50,3.1,0,0,50,3.1,0,0,0,0,1566,96.9,1536,95,0,0,15,0.9,4,0.2,0,0
1600000US1705248,"Bensenville village, Illinois",18400,9144,49.7,7175,39,509,2.8,90,0.5,1370,7.4,9256,50.3,7679,41.7,612,3.3,0,0,744,4,0,0
1600000US1705261,"Benson village, Illinois",496,0,0,0,0,0,0,0,0,0,0,496,100,496,100,0,0,0,0,0,0,0,0
1600000US1705274,"Bentley town, Illinois",20,2,10,2,10,0,0,0,0,0,0,18,90,18,90,0,0,0,0,0,0,0,0
1600000US1705300,"Benton city, Illinois",6980,173,2.5,130,1.9,20,0.3,23,0.3,0,0,6807,97.5,6579,94.3,49,0.7,0,0,90,1.3,21,0.3
1600000US1705404,"Berkeley village, Illinois",5171,1906,36.9,1608,31.1,203,3.9,15,0.3,80,1.5,3265,63.1,1511,29.2,1496,28.9,43,0.8,171,3.3,0,0
1600000US1705443,"Berlin village, Illinois",205,3,1.5,3,1.5,0,0,0,0,0,0,202,98.5,196,95.6,6,2.9,0,0,0,0,0,0
1600000US1705573,"Berwyn city, Illinois",55949,35377,63.2,30090,53.8,2830,5.1,257,0.5,2200,3.9,20572,36.8,14501,25.9,3498,6.3,66,0.1,1931,3.5,0,0
1600000US1705599,"Bethalto village, Illinois",9311,138,1.5,66,0.7,72,0.8,0,0,0,0,9173,98.5,8780,94.3,137,1.5,0,0,100,1.1,3,0
1600000US1705612,"Bethany village, Illinois",1204,1,0.1,1,0.1,0,0,0,0,0,0,1203,99.9,1201,99.8,0,0,0,0,0,0,0,0
1600000US1705898,"Biggsville village, Illinois",316,0,0,0,0,0,0,0,0,0,0,316,100,312,98.7,0,0,0,0,0,0,0,0
1600000US1705976,"Big Rock village, Illinois",1318,45,3.4,39,3,0,0,0,0,6,0.5,1273,96.6,1241,94.2,8,0.6,6,0.5,0,0,0,0
1600000US1706028,"Bingham village, Illinois",100,0,0,0,0,0,0,0,0,0,0,100,100,100,100,0,0,0,0,0,0,0,0
1600000US1706171,"Bishop Hill village, Illinois",114,0,0,0,0,0,0,0,0,0,0,114,100,112,98.2,1,0.9,0,0,0,0,0,0
1600000US1706184,"Bismarck village, Illinois",614,15,2.4,14,2.3,0,0,0,0,1,0.2,599,97.6,590,96.1,0,0,0,0,9,1.5,0,0
1600000US1706470,"Blandinsville village, Illinois",685,0,0,0,0,0,0,0,0,0,0,685,100,676,98.7,6,0.9,0,0,0,0,0,0
1600000US1706587,"Bloomingdale village, Illinois",22138,2707,12.2,1802,8.1,171,0.8,85,0.4,649,2.9,19431,87.8,15434,69.7,698,3.2,43,0.2,2974,13.4,28,0.1
1600000US1706613,"Bloomington city, Illinois",78331,4519,5.8,3353,4.3,333,0.4,58,0.1,775,1,73812,94.2,57523,73.4,7723,9.9,151,0.2,6283,8,0,0
1600000US1706704,"Blue Island city, Illinois",22636,11107,49.1,10690,47.2,187,0.8,42,0.2,188,0.8,11529,50.9,4566,20.2,6325,27.9,29,0.1,90,0.4,0,0
1600000US1706756,"Blue Mound village, Illinois",1142,10,0.9,10,0.9,0,0,0,0,0,0,1132,99.1,1048,91.8,0,0,2,0.2,13,1.1,0,0
1600000US1706899,"Bluffs village, Illinois",759,9,1.2,9,1.2,0,0,0,0,0,0,750,98.8,750,98.8,0,0,0,0,0,0,0,0
1600000US1706964,"Bluford village, Illinois",672,11,1.6,4,0.6,0,0,0,0,7,1,661,98.4,654,97.3,2,0.3,2,0.3,0,0,0,0
1600000US1707133,"Bolingbrook village, Illinois",74448,18943,25.4,15595,20.9,1466,2,298,0.4,1584,2.1,55505,74.6,30006,40.3,13551,18.2,93,0.1,8616,11.6,16,0
1600000US1707211,"Bondville village, Illinois",455,36,7.9,36,7.9,0,0,0,0,0,0,419,92.1,398,87.5,6,1.3,0,0,3,0.7,0,0
1600000US1707224,"Bone Gap village, Illinois",187,0,0,0,0,0,0,0,0,0,0,187,100,177,94.7,0,0,0,0,0,0,0,0
1600000US1707237,"Bonfield village, Illinois",419,13,3.1,3,0.7,0,0,0,0,10,2.4,406,96.9,403,96.2,0,0,0,0,0,0,0,0
1600000US1707263,"Bonnie village, Illinois",323,13,4,13,4,0,0,0,0,0,0,310,96,291,90.1,2,0.6,1,0.3,0,0,0,0
1600000US1707315,"Boody CDP, Illinois",237,0,0,0,0,0,0,0,0,0,0,237,100,237,100,0,0,0,0,0,0,0,0
1600000US1707419,"Boulder Hill CDP, Illinois",9179,2468,26.9,2259,24.6,84,0.9,87,0.9,38,0.4,6711,73.1,5949,64.8,447,4.9,0,0,101,1.1,0,0
1600000US1707471,"Bourbonnais village, Illinois",19526,1641,8.4,1225,6.3,136,0.7,16,0.1,264,1.4,17885,91.6,15227,78,1847,9.5,0,0,354,1.8,0,0
1600000US1707510,"Bowen village, Illinois",444,0,0,0,0,0,0,0,0,0,0,444,100,438,98.6,6,1.4,0,0,0,0,0,0
1600000US1707640,"Braceville village, Illinois",779,90,11.6,66,8.5,24,3.1,0,0,0,0,689,88.4,670,86,0,0,0,0,5,0.6,0,0
1600000US1707692,"Bradford village, Illinois",660,17,2.6,14,2.1,3,0.5,0,0,0,0,643,97.4,631,95.6,12,1.8,0,0,0,0,0,0
1600000US1707744,"Bradley village, Illinois",15428,1831,11.9,1742,11.3,42,0.3,10,0.1,37,0.2,13597,88.1,12502,81,877,5.7,0,0,135,0.9,0,0
1600000US1707770,"Braidwood city, Illinois",6284,285,4.5,258,4.1,7,0.1,0,0,20,0.3,5999,95.5,5818,92.6,19,0.3,0,0,13,0.2,0,0
1600000US1707913,"Breese city, Illinois",4453,85,1.9,84,1.9,1,0,0,0,0,0,4368,98.1,4251,95.5,0,0,0,0,54,1.2,0,0
1600000US1708186,"Bridgeport city, Illinois",1957,29,1.5,29,1.5,0,0,0,0,0,0,1928,98.5,1925,98.4,0,0,3,0.2,0,0,0,0
1600000US1708225,"Bridgeview village, Illinois",16440,3739,22.7,3467,21.1,187,1.1,0,0,85,0.5,12701,77.3,10884,66.2,598,3.6,0,0,1052,6.4,0,0
1600000US1708264,"Brighton village, Illinois",2215,31,1.4,14,0.6,0,0,0,0,17,0.8,2184,98.6,2151,97.1,8,0.4,4,0.2,0,0,0,0
1600000US1708303,"Brimfield village, Illinois",965,0,0,0,0,0,0,0,0,0,0,965,100,922,95.5,4,0.4,2,0.2,0,0,0,0
1600000US1708420,"Broadlands village, Illinois",346,4,1.2,4,1.2,0,0,0,0,0,0,342,98.8,337,97.4,0,0,0,0,4,1.2,0,0
1600000US1708446,"Broadview village, Illinois",7829,268,3.4,208,2.7,25,0.3,12,0.2,23,0.3,7561,96.6,1168,14.9,5832,74.5,0,0,236,3,0,0
1600000US1708472,"Broadwell village, Illinois",186,6,3.2,4,2.2,2,1.1,0,0,0,0,180,96.8,176,94.6,0,0,0,0,0,0,0,0
