GEOID,NAME,total,onerace_white,onerace_white_perc,onerace_black,onerace_black_perc
1600000US1744056,"Littleton village, Illinois",143,143,100,0,0
1600000US1744082,"Little York village, Illinois",305,305,100,0,0
1600000US1744121,"Liverpool village, Illinois",142,142,100,0,0
1600000US1744160,"Livingston village, Illinois",765,740,96.7,0,0
1600000US1744173,"Loami village, Illinois",1037,1007,97.1,10,1
1600000US1744225,"Lockport city, Illinois",25226,23191,91.9,465,1.8
1600000US1744264,"Loda village, Illinois",324,281,86.7,29,9
1600000US1744381,"Lomax village, Illinois",394,382,97,0,0
1600000US1744407,"Lombard village, Illinois",43904,34799,79.3,2085,4.7
1600000US1744446,"London Mills village, Illinois",374,374,100,0,0
1600000US1744498,"Long Creek village, Illinois",1548,1486,96,0,0
1600000US1744524,"Long Grove village, Illinois",7978,6139,76.9,174,2.2
1600000US1744550,"Long Lake CDP, Illinois",3415,2940,86.1,0,0
1600000US1744576,"Long Point village, Illinois",237,227,95.8,0,0
1600000US1744602,"Longview village, Illinois",130,124,95.4,0,0
1600000US1744719,"Loraine village, Illinois",331,323,97.6,0,0
1600000US1744823,"Lostant village, Illinois",472,466,98.7,0,0
1600000US1744836,"Lost Nation CDP, Illinois",651,651,100,0,0
1600000US1744927,"Louisville village, Illinois",1096,1044,95.3,36,3.3
1600000US1745031,"Loves Park city, Illinois",24043,21380,88.9,788,3.3
1600000US1745044,"Lovington village, Illinois",1117,1069,95.7,21,1.9
1600000US1745174,"Ludlow village, Illinois",382,339,88.7,27,7.1
1600000US1745278,"Lyndon village, Illinois",638,621,97.3,0,0
1600000US1745369,"Lynnville village, Illinois",68,68,100,0,0
1600000US1745421,"Lynwood village, Illinois",9316,2693,28.9,6439,69.1
1600000US1745434,"Lyons village, Illinois",10566,8353,79.1,390,3.7
1600000US1745525,"McClure village, Illinois",348,348,100,0,0
1600000US1745564,"McCook village, Illinois",261,247,94.6,1,0.4
1600000US1745616,"McCullom Lake village, Illinois",1148,1018,88.7,7,0.6
1600000US1745642,"Macedonia village, Illinois",46,46,100,0,0
1600000US1745694,"McHenry city, Illinois",26740,25404,95,128,0.5
1600000US1745726,"Machesney Park village, Illinois",22906,20962,91.5,415,1.8
1600000US1745785,"Mackinaw village, Illinois",2023,1990,98.4,19,0.9
1600000US1745811,"McLean village, Illinois",793,782,98.6,0,0
1600000US1745824,"McLeansboro city, Illinois",2663,2560,96.1,28,1.1
1600000US1745850,"McNabb village, Illinois",283,271,95.8,0,0
1600000US1745889,"Macomb city, Illinois",18118,15579,86,1375,7.6
1600000US1745941,"Macon city, Illinois",1152,1091,94.7,7,0.6
1600000US1745993,"Madison city, Illinois",3714,1739,46.8,1832,49.3
1600000US1746058,"Maeystown village, Illinois",104,104,100,0,0
1600000US1746110,"Magnolia village, Illinois",336,309,92,12,3.6
1600000US1746136,"Mahomet village, Illinois",8327,8062,96.8,0,0
1600000US1746214,"Makanda village, Illinois",575,508,88.3,7,1.2
1600000US1746240,"Malden village, Illinois",275,269,97.8,0,0
1600000US1746279,"Malta village, Illinois",1080,1037,96,10,0.9
1600000US1746331,"Manchester village, Illinois",259,254,98.1,0,0
1600000US1746357,"Manhattan village, Illinois",7813,7716,98.8,0,0
1600000US1746383,"Manito village, Illinois",1513,1464,96.8,39,2.6
1600000US1746422,"Manlius village, Illinois",347,345,99.4,0,0
1600000US1746487,"Mansfield village, Illinois",942,913,96.9,0,0
1600000US1746500,"Manteno village, Illinois",8652,8237,95.2,122,1.4
1600000US1746604,"Maple Park village, Illinois",1482,1407,94.9,0,0
1600000US1746643,"Mapleton village, Illinois",295,295,100,0,0
